rank,lane,id,label,status,nextAction,allowedAction,forbiddenActions,blockers,sourceFile
"79","photos_produits","ali_partner_20260527_support_pc_pliant_001#4","Support PC portable pliant aluminium ajustable - dimensions","HOLD_PHOTO_MISSING","dimensions, hauteur/reglage ou encombrement plie/deplie","deposer photo WebP exacte: 04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp","utiliser image fournisseur non autorisee | publier fiche | commander fournisseur","fichier local present | droits images remplis | correspondance visuelle prouvee | validation Mouss","business-maxi-trouvailles\depots-photos\depot-photos-sprint-20260612\produits\02-support-pc-portable-pliant-aluminium-ajustable\04-support-pc-portable-pliant-aluminium-ajustable-dimensions.webp"
"80","operations_commandes","dropshipping_order_operations_board","Operations commandes dropshipping","OK_ORDER_OPERATIONS_BOARD_READY","0 stock a reprendre, 0 pretes validation humaine, 0 suivis attendus","tri interne lecture seule et validation humaine avant toute suite","commander fournisseur | payer | exporter adresse client | afficher URL fournisseur","","data/dropshipping-orders.json"
"81","garde_fous","public_image_pipeline_coherence","Coherence pipeline images publiques","OK_PUBLIC_IMAGE_PIPELINE_COHERENT","0 echec coherence, 12 fiches, 72 lignes formulaire","relancer l'audit coherence lecture seule et corriger uniquement les artefacts HOLD","copier dans public/uploads | utiliser image approximative | publier fiche | commander fournisseur","","business-maxi-trouvailles/tableaux-action/public-image-proof-pack-20260612/PACK_PREUVES_IMAGES_PUBLIQUES_20260612.json"
"82","garde_fous","public_image_copy_gate","Gate copie images publiques","OK_PUBLIC_IMAGE_COPY_DRY_RUN","0 candidat copie, 12 bloques, validation humaine obligatoire","dry-run, depot WebP exact et checklist; copie seulement apres validation Mouss","copier dans public/uploads sans validation | publier fiche | utiliser image approximative | telecharger image externe","mini-humidificateur-usb-bureau-partenaire-hold: expected_webp_missing | mini-pompe-air-usb-voyage-partenaire-hold: expected_webp_missing | cable-usb-c-240w-renforce-best-seller: expected_webp_missing | lampe-velo-usb-rechargeable-affichage-batterie: expected_webp_missing | support-pc-portable-pliant-aluminium-ajustable: expected_webp_missing | attaches-cables-velcro-lot-partenaire-hold: expected_webp_missing | bandeau-skincare-microfibre-partenaire-hold: expected_webp_missing | boite-rangement-cables-bureau-partenaire-hold: expected_webp_missing | brosse-chaussures-nettoyage-3-en-1-partenaire-hold: expected_webp_missing | brosse-nettoyage-joints-cuisine-partenaire-hold: expected_webp_missing | diffuseur-voiture-clip-ventilation-partenaire-hold: expected_webp_missing | etagere-douche-angle-adhesive-partenaire-hold: expected_webp_missing","business-maxi-trouvailles/tableaux-action/public-image-deposit-files-audit-20260612/AUDIT_DEPOT_WEBP_IMAGES_PUBLIQUES_20260612.json"
"83","garde_fous","generated_artifact_leak_audit","Audit artefacts generes","OK_ARTIFACTS_NO_LEAK","0 fuite detectee sur 7 fichiers generes","corriger ou regenerer les artefacts internes avant partage","publier artefact non audite | inclure lien fournisseur brut | inclure prix fournisseur visible client","","business-maxi-trouvailles/tableaux-action/public-catalog-source-guards-20260613"
"84","garde_fous","admin_publication_gate","Publication admin produits","OK_ADMIN_PUBLICATION_GATE_ACTIVE","le serveur refuse les publications dropshipping sans preuves completes","audit lecture seule et correction du garde serveur si besoin","publier produit HOLD | bypasser preuves fournisseur | bypasser images exactes","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_ADMIN_PUBLICATION_GATE_20260612.json"
"85","garde_fous","admin_publication_ui_guard","UI publication admin","OK_ADMIN_PUBLICATION_UI_GUARD_ACTIVE","le formulaire admin affiche les blocages et desactive la publication incomplete","audit lecture seule et correction du formulaire admin si besoin","publier produit HOLD | masquer les blocages serveur | laisser une publication incomplete sans alerte admin","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_ADMIN_PUBLICATION_UI_GUARD_20260611.json"
"86","garde_fous","admin_api_guards","Routes API admin","OK_ADMIN_API_GUARDS_ACTIVE","10 routes admin et 14 methodes masquees par ADMIN_MODE","audit lecture seule et correction du garde ADMIN_MODE si besoin","lire payload admin sans ADMIN_MODE | appeler OpenAI sans ADMIN_MODE | muter catalogue ou commande sans ADMIN_MODE","",""
"87","garde_fous","admin_page_guards","Pages admin","OK_ADMIN_PAGE_GUARDS_ACTIVE","14 pages admin protegees par ADMIN_MODE avant lecture/rendu sensible","audit lecture seule et correction des gardes de page admin si besoin","rendre formulaire admin sans ADMIN_MODE | lire fichiers pilotage sans ADMIN_MODE | exposer commandes ou messages sans ADMIN_MODE","",""
"88","garde_fous","stripe_webhook_stock_guards","Webhook Stripe stock","OK_STRIPE_WEBHOOK_STOCK_GUARDS_ACTIVE","17 controles actifs; aucune action paiement reelle, aucun stock hors webhook signe","audit lecture seule et correction de garde-fous; aucune action paiement ni fournisseur","creer paiement reel | declencher commande fournisseur | modifier cle ou valeur sensible | deployer","",""
"89","garde_fous","dropshipping_order_admin_safety","Admin commandes dropshipping","OK_ORDER_ADMIN_SUPPLIER_ACTIONS_GUARDED","11 controles admin actifs; aucune suite fournisseur sans paiement confirme et stock valide","audit lecture seule et correction des blocages admin; aucune action fournisseur","commander fournisseur | envoyer message client | forcer suivi colis | bypasser stock webhook","",""
"90","garde_fous","dropshipping_order_operations_fixtures","Fixtures operations commandes","OK_ORDER_OPERATIONS_FIXTURES_PASS","0 echec scenario; preuves manquantes et exports sensibles restent controles","relancer les tests fixtures lecture seule sans commandes reelles","lire commandes reelles depuis les fixtures | commander fournisseur | publier | envoyer message client","","src/lib/dropshipping-operations.ts"
"91","garde_fous","public_visual_ambiguity","Surface visuelle publique","OK_PUBLIC_VISUAL_SURFACE_SAFE","0 ambiguite visuelle, 0 image stock ou CDN interdite","corriger uniquement les garde-fous visuels publics et relancer l'audit","utiliser image approximative | afficher image fournisseur non prouvee | publier fiche | copier dans public/uploads","","src/components/ProductCard.tsx"
"92","garde_fous","pilotage_order_operations","Pilotage operations commandes","OK_PILOTAGE_ORDER_OPERATIONS_GUARDED","13 controles page OK; board operations charge derriere ADMIN_MODE","audit lecture seule et correction du panneau admin protege","exposer commandes hors ADMIN_MODE | exporter adresse client | afficher URL fournisseur | envoyer message client","","business-maxi-trouvailles/tableaux-action/dropshipping-order-operations-20260612/DROPSHIPPING_ORDER_OPERATIONS_BOARD_20260612.json"
"93","garde_fous","public_catalog_source_guards","Sources catalogue publiques","OK_PUBLIC_CATALOG_SOURCE_GUARDS","0 contournement source sur 24 fichiers surveilles","corriger uniquement les imports publics pour repasser par les filtres publics","importer products dans une surface publique | exposer lien fournisseur | exposer prix fournisseur visible client | publier fiche sans image exacte","","src/lib/catalog-server.ts"
"94","garde_fous","seo_hold_visibility","SEO produits HOLD","OK_HOLD_PRODUCTS_NOT_INDEXABLE","121 produits non publics restent hors sitemap/pre-generation","audit lecture seule et correction noindex/sitemap si besoin","indexer brouillons | referencer fiches HOLD | laisser adminPreview indexable","","business-maxi-trouvailles\tableaux-action\audit-seo-hold-visibility-20260613\AUDIT_SEO_HOLD_VISIBILITY_20260613.json"
"95","garde_fous","public_dropshipping_surface","Surface publique dropshipping","OK_NO_PUBLIC_SUPPLIER_LEAK","maintenir zero fuite client: marketplace fournisseur, prix fournisseur, liens fournisseur et images non prouvees restent bloques","audit lecture seule et correction wording client si besoin","afficher marketplace fournisseur | afficher lien fournisseur | afficher prix fournisseur | publier fiche sans image exacte","","business-maxi-trouvailles\tableaux-action\surface-publique-dropshipping-20260613\AUDIT_SURFACE_PUBLIQUE_DROPSHIPPING_20260613.json"
"96","garde_fous","checkout","Checkout et Stripe","OK_GUARDS_ACTIVE","maintenir les gardes actifs; ne pas toucher au paiement sans validation Mouss","audit lecture seule et correction de garde-fous si besoin","creer session Stripe reelle | deployer | modifier cles API","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_CHECKOUT_ELIGIBILITY_20260613.json"
"97","garde_fous","partner_publication_gates","Publication produits partenaires","OK_ALL_PARTNERS_HOLD","73 produits partenaires restent en HOLD, ne rien publier","audit et enrichissement preuves en brouillon","publier | lever HOLD automatiquement | commander fournisseur","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_ALL_PARTNER_GATES_20260612.json"
"98","garde_fous","surprise_hold","Colis surprises et palettes","OK_NON_VENDABLES","conserver badge A venir et achat bloque","audit hold et correction badge/boutons si besoin","vendre colis surprise | activer paiement | publier palettes","","business-maxi-trouvailles\file-validation-fournisseurs\AUDIT_SURPRISES_NON_VENDABLES_20260611.json"
